country,iso_code,year,mismanaged_waste_per_capita,gdp_per_capita,population,continent,log_gdp,log_mismanaged_waste
Albania,ALB,2010,0.032,9927.18,2948000,Europe,3.9968,-1.4947
Algeria,DZA,2010,0.086,12870.6,35977000,Africa,4.1096,-1.0655
Angola,AGO,2010,0.045,5897.68,23356000,Africa,3.7707,-1.3467
Anguilla,AIA,2010,0.01,15628.59,13000,North America,4.1939,-1.9996
Antigua and Barbuda,ATG,2010,0.051,19212.72,88000,North America,4.2836,-1.2923
Argentina,ARG,2010,0.026,18712.06,40896000,South America,4.2721,-1.5849
Aruba,ABW,2010,0.007,35973.78,102000,North America,4.556,-2.1543
Australia,AUS,2010,0.002,41464.04,22155000,Oceania,4.6177,-2.6968
Bahamas,BHS,2010,0.011,29221.99,355000,North America,4.4657,-1.9582
Bahrain,BHR,2010,0.016,40570.54,1241000,Asia,4.6082,-1.7956
Bangladesh,BGD,2010,0.03,2442.73,147575008,Asia,3.3879,-1.5227
Barbados,BRB,2010,0.034,16417.96,282000,North America,4.2153,-1.4684
Belgium,BEL,2010,0.002,41085.92,10939000,Europe,4.6137,-2.6968
Belize,BLZ,2010,0.053,7876.81,322000,North America,3.8964,-1.2756
Benin,BEN,2010,0.036,1818.78,9199000,Africa,3.2598,-1.4436
Bermuda,BMU,2010,0.005,56395.01,65000,North America,4.7512,-2.3002
Bosnia and Herzegovina,BIH,2010,0.061,9720.34,3705000,Europe,3.9877,-1.2146
Brazil,BRA,2010,0.017,14537.57,195714000,South America,4.1625,-1.7693
British Virgin Islands,VGB,2010,0.005,15628.59,28000,North America,4.1939,-2.3002
Brunei,BRN,2010,0.001,80552.86,389000,Asia,4.9061,-2.9957
Bulgaria,BGR,2010,0.051,15283.29,7425000,Europe,4.1842,-1.2923
Cambodia,KHM,2010,0.058,2522.93,14312000,Asia,3.4019,-1.2365
Cameroon,CMR,2010,0.038,2929.83,20341000,Africa,3.4668,-1.4201
Canada,CAN,2010,0.002,40699.36,34148000,North America,4.6096,-2.6968
Cape Verde,CPV,2010,0.049,5828.24,493000,Africa,3.7655,-1.3097
Cayman Islands,CYM,2010,0.005,49903.03,57000,North America,4.6981,-2.3002
Chile,CHL,2010,0.011,19442.05,17063000,South America,4.2887,-1.9582
China,CHN,2010,0.092,9525.82,1368811008,Asia,3.9789,-1.0362
Christmas Island,CXR,2010,0.005,14969.16,23155000,Asia,4.1752,-2.3002
Cocos Islands,CCK,2010,0.005,14969.16,23155000,Asia,4.1752,-2.3002
Colombia,COL,2010,0.034,10900.51,45223000,South America,4.0374,-1.4684
Comoros,COM,2010,0.169,1412.5,690000,Africa,3.15,-0.7721
Congo,COG,2010,0.054,5186.34,4274000,Africa,3.7149,-1.2675
Cook Islands,COK,2010,0.054,4231.67,18000,Oceania,3.6265,-1.2675
Costa Rica,CRI,2010,0.047,12999.99,4577000,North America,4.1139,-1.3278
Cote d'Ivoire,CIV,2010,0.086,2690.26,20533000,Africa,3.4298,-1.0655
Croatia,HRV,2010,0.028,20171.96,4328000,Europe,4.3047,-1.5527
Cuba,CUB,2010,0.022,15628.59,11226000,North America,4.1939,-1.6574
Curacao,CUW,2010,0.005,15628.59,149000,North America,4.1939,-2.3002
Cyprus,CYP,2010,0.006,33941.14,1113000,Europe,4.5307,-2.2211
Democratic Republic of Congo,COD,2010,0.039,660.21,64564000,Africa,2.8197,-1.4088
Denmark,DNK,2010,0.001,43998.44,5555000,Europe,4.6434,-2.9957
Djibouti,DJI,2010,0.076,2705.41,840000,Africa,3.4322,-1.1191
Dominica,DMA,2010,0.031,10198.27,71000,North America,4.0085,-1.5085
Dominican Republic,DOM,2010,0.039,11132.55,9695000,North America,4.0466,-1.4088
Ecuador,ECU,2010,0.047,9352.34,15011000,South America,3.9709,-1.3278
Egypt,EGY,2010,0.122,9857.47,82761000,Africa,3.9938,-0.9136
El Salvador,SLV,2010,0.051,6300.78,6184000,North America,3.7994,-1.2923
Equatorial Guinea,GNQ,2010,0.047,33723.37,944000,Africa,4.5279,-1.3278
Eritrea,ERI,2010,0.035,1416.37,3170000,Africa,3.1512,-1.4558
